description,category
bus ticket,Transport
vegetable market payment,Groceries
diesel,Transport
health checkup payment,Health
flight ticket,Travel
flight ticket 4144,Travel
resort stay expense,Travel
daily groceries,Groceries
doctor consultation 1229,Health
grocery shopping payment,Groceries
clothes purchase payment,Shopping
ration store 4215,Groceries
diesel,Transport
interest income payment,Income
diesel 3007,Transport
electronics purchase,Shopping
bonus received,Income
mall shopping transaction,Shopping
shopping transaction,Shopping
pizza expense,Food
game purchase,Entertainment
medicine purchase transaction,Health
burger,Food
metro ticket,Transport
trip expense,Travel
gas station,Transport
auto rickshaw,Transport
water bill transaction,Utilities
taxi fare expense,Transport
pharmacy expense,Health
mall shopping transaction,Shopping
tour booking transaction,Travel
ration store transaction,Groceries
milk purchase 606,Groceries
medicine purchase transaction,Health
restaurant meal payment,Food
medicine purchase,Health
food delivery expense,Food
resort stay expense,Travel
concert ticket expense,Entertainment
swiggy order 925,Food
resort stay expense,Travel
cinema 4059,Entertainment
vegetable market 661,Groceries
daily groceries expense,Groceries
restaurant meal transaction,Food
flipkart order,Shopping
online shopping expense,Shopping
flight ticket,Travel
flipkart order 3748,Shopping
swiggy order payment,Food
diesel payment,Transport
flight ticket,Travel
spotify premium expense,Entertainment
water bill 4558,Utilities
online shopping expense,Shopping
taxi fare 4281,Transport
clothes purchase transaction,Shopping
fuel refill payment,Transport
gas station payment,Transport
electricity bill,Utilities
hospital visit expense,Health
doctor consultation 905,Health
electronics purchase,Shopping
doctor consultation payment,Health
bonus received payment,Income
auto rickshaw expense,Transport
new shoes payment,Shopping
resort stay,Travel
mobile recharge,Utilities
tour booking payment,Travel
metro ticket transaction,Transport
new shoes transaction,Shopping
supermarket 4881,Groceries
supermarket transaction,Groceries
concert ticket transaction,Entertainment
mobile recharge,Utilities
uber ride,Transport
hospital visit,Health
health checkup 3453,Health
food delivery payment,Food
movie ticket transaction,Entertainment
tour booking transaction,Travel
burger,Food
grocery shopping,Groceries
trip expense payment,Travel
food delivery expense,Food
health checkup expense,Health
clothes purchase payment,Shopping
amazon order 1200,Shopping
train ticket payment,Transport
street food payment,Food
cashback received transaction,Income
vegetable market,Groceries
lunch expense,Food
uber ride payment,Transport
train ticket,Transport
zomato order payment,Food
new shoes transaction,Shopping
water bill 2961,Utilities
fuel refill,Transport
interest income 892,Income
electricity bill 1078,Utilities
medicine purchase expense,Health
hospital visit,Health
tour booking transaction,Travel
daily groceries expense,Groceries
interest income 2943,Income
train ticket,Transport
petrol 4225,Transport
food delivery 3896,Food
medicine purchase payment,Health
amazon order payment,Shopping
ola cab payment,Transport
daily groceries payment,Groceries
freelance payment transaction,Income
online shopping,Shopping
cinema,Entertainment
refund received payment,Income
electricity bill payment,Utilities
shopping transaction,Shopping
supermarket,Groceries
breakfast,Food
supermarket,Groceries
grocery shopping 1574,Groceries
cashback received,Income
pizza,Food
electronics purchase,Shopping
burger transaction,Food
milk purchase 4932,Groceries
interest income transaction,Income
trip expense payment,Travel
swiggy order,Food
netflix subscription,Entertainment
mobile recharge expense,Utilities
mobile recharge transaction,Utilities
doctor consultation,Health
electricity bill,Utilities
metro ticket transaction,Transport
swiggy order payment,Food
netflix subscription payment,Entertainment
interest income,Income
mobile recharge payment,Utilities
gas station payment,Transport
internet bill transaction,Utilities
freelance payment payment,Income
electricity bill payment,Utilities
metro ticket 1283,Transport
salary credited,Income
amazon order,Shopping
ration store,Groceries
refund received transaction,Income
cinema transaction,Entertainment
fuel refill 2009,Transport
breakfast,Food
uber ride transaction,Transport
swiggy order payment,Food
diesel,Transport
flipkart order,Shopping
burger payment,Food
wifi payment 3673,Utilities
bonus received transaction,Income
tour booking,Travel
new shoes expense,Shopping
auto rickshaw transaction,Transport
trip expense payment,Travel
hotel booking expense,Travel
pizza payment,Food
breakfast payment,Food
coffee 3216,Food
flipkart order transaction,Shopping
internet bill,Utilities
mobile recharge 648,Utilities
zomato order payment,Food
grocery shopping,Groceries
breakfast expense,Food
doctor consultation 2944,Health
milk purchase,Groceries
zomato order expense,Food
cashback received payment,Income
refund received payment,Income
diesel,Transport
trip expense transaction,Travel
gas station transaction,Transport
vegetable market,Groceries
spotify premium payment,Entertainment
auto rickshaw transaction,Transport
gas bill payment,Utilities
hotel booking,Travel
refund received,Income
ola cab,Transport
electricity bill 969,Utilities
concert ticket,Entertainment
concert ticket transaction,Entertainment
food delivery payment,Food
cashback received 427,Income
ola cab,Transport
internet bill,Utilities
shopping payment,Shopping
freelance payment,Income
online shopping payment,Shopping
concert ticket transaction,Entertainment
pizza,Food
trip expense payment,Travel
new shoes expense,Shopping
water bill payment,Utilities
health checkup payment,Health
concert ticket,Entertainment
train ticket 4063,Transport
new shoes,Shopping
concert ticket expense,Entertainment
fuel refill payment,Transport
flipkart order 3370,Shopping
doctor consultation,Health
petrol,Transport
bonus received payment,Income
milk purchase transaction,Groceries
doctor consultation 4813,Health
street food expense,Food
coffee expense,Food
tour booking transaction,Travel
salary credited expense,Income
medical bill transaction,Health
coffee 126,Food
freelance payment,Income
vegetable market 255,Groceries
new shoes payment,Shopping
resort stay 3077,Travel
tour booking,Travel
dinner,Food
milk purchase,Groceries
cinema,Entertainment
refund received 4345,Income
electricity bill 656,Utilities
electricity bill 3729,Utilities
gas station,Transport
doctor consultation,Health
ration store,Groceries
cashback received transaction,Income
concert ticket transaction,Entertainment
supermarket expense,Groceries
trip expense,Travel
online shopping payment,Shopping
concert ticket,Entertainment
electronics purchase expense,Shopping
mall shopping,Shopping
vacation travel transaction,Travel
spotify premium,Entertainment
internet bill,Utilities
salary credited expense,Income
doctor consultation,Health
swiggy order transaction,Food
auto rickshaw expense,Transport
internet bill,Utilities
snacks payment,Food
electricity bill 2685,Utilities
bonus received,Income
gas bill transaction,Utilities
resort stay payment,Travel
new shoes payment,Shopping
wifi payment,Utilities
daily groceries payment,Groceries
amazon order,Shopping
pharmacy,Health
grocery shopping payment,Groceries
food delivery,Food
pharmacy,Health
flipkart order,Shopping
wifi payment,Utilities
netflix subscription payment,Entertainment
gas bill,Utilities
vacation travel,Travel
water bill payment,Utilities
snacks payment,Food
pizza,Food
pharmacy payment,Health
supermarket expense,Groceries
supermarket transaction,Groceries
milk purchase expense,Groceries
hotel booking payment,Travel
ola cab,Transport
gas bill,Utilities
shopping,Shopping
tour booking payment,Travel
freelance payment,Income
internet bill,Utilities
spotify premium,Entertainment
concert ticket expense,Entertainment
movie ticket,Entertainment
bonus received expense,Income
gas station 4086,Transport
resort stay,Travel
food delivery transaction,Food
wifi payment 3915,Utilities
milk purchase expense,Groceries
bonus received expense,Income
internet bill payment,Utilities
ration store expense,Groceries
petrol,Transport
flight ticket expense,Travel
street food payment,Food
diesel,Transport
shopping expense,Shopping
spotify premium payment,Entertainment
ration store,Groceries
water bill transaction,Utilities
petrol transaction,Transport
netflix subscription expense,Entertainment
health checkup payment,Health
amazon order expense,Shopping
tour booking 2076,Travel
mall shopping 4073,Shopping
hotel booking transaction,Travel
mall shopping,Shopping
resort stay payment,Travel
vegetable market,Groceries
milk purchase payment,Groceries
spotify premium,Entertainment
milk purchase transaction,Groceries
amazon order payment,Shopping
hotel booking expense,Travel
